68	40	40	1
68	40	41	1
68	40	42	1
68	40	43	1
68	40	44	1
68	40	45	1
68	40	46	1
68	40	47	1
68	40	48	1
68	40	49	1
68	40	50	1
68	40	51	1
68	40	52	1
68	40	53	1
68	40	54	1
68	40	55	1
68	40	56	1
68	40	57	1
68	40	58	1
68	40	59	1
68	40	60	1
69	40	40	1
69	40	41	1
69	40	42	1
69	40	43	1
69	40	44	1
69	40	45	1
69	40	46	1
69	40	47	1
69	40	48	1
69	40	49	1
69	40	50	1
69	40	51	1
69	40	52	1
69	40	53	1
69	40	54	1
69	40	55	1
69	40	56	1
69	40	57	1
69	40	58	1
69	40	59	1
69	40	60	1
70	40	40	1
70	40	41	1
70	40	42	1
70	40	43	1
70	40	44	1
70	40	45	1
70	40	46	1
70	40	47	1
70	40	48	1
70	40	49	1
70	40	50	1
70	40	51	1
70	40	52	1
70	40	53	1
70	40	54	1
70	40	55	1
70	40	56	1
70	40	57	1
70	40	58	1
70	40	59	1
70	40	60	1
