51	23	1	5.2367	1.3087
46	22	1	2.7297	1.2746
51	34	1	3.3296	0.3615
47	32	1	2.2509	0.0002
41	33	1	4.2671	0.0004
46	38	1	15.9567	6.7762
44	46	1	20.2244	14.2433
38	48	1	55.4575	0.2256
31	39	1	8.1295	0.6054
21	48	1	45.5158	26.1865
17	45	1	1.9203	0.3533
12	40	1	4.4449	0.8949
11	25	1	1.0060	0.4132
13	17	1	3.3836	0.0004
24	24	1	4.8082	0.7805
36	9	1	16.6491	0.0431
31	16	2	23.0889	6.5069
30	16	2	32.6890	4.5871
32	16	2	29.4014	7.0790
32	15	2	32.8311	9.3655
32	17	2	16.4897	9.8677
31	17	2	31.7959	11.4989
30	17	2	19.5315	4.9030
30	15	2	36.9972	6.6050
31	15	2	26.2674	5.0569
44	40	2	34.6478	7.7775
17	40	2	19.7717	6.4591
18	40	2	16.5322	9.3272
